iter	Passed	Remaining
0	0	79
1	1	80
2	2	71
3	2	64
4	3	61
5	3	58
6	4	56
7	4	56
8	5	54
9	6	54
10	6	54
11	7	54
12	8	53
13	8	52
14	9	51
15	9	50
16	10	49
17	10	48
18	11	47
19	11	46
20	12	46
21	12	45
22	13	45
23	14	45
24	14	44
25	15	43
26	15	43
27	16	42
28	17	41
29	17	41
30	18	40
31	18	39
32	19	39
33	20	39
34	20	38
35	21	38
36	21	37
37	22	36
38	22	35
39	23	35
40	24	34
41	24	33
42	24	32
43	25	32
44	26	31
45	26	31
46	27	30
47	27	29
48	28	29
49	28	28
50	29	28
51	29	27
52	30	26
53	30	26
54	31	25
55	32	25
56	32	24
57	33	24
58	34	23
59	34	23
60	35	22
61	36	22
62	36	21
63	37	21
64	38	20
65	39	20
66	39	19
67	40	19
68	41	18
69	41	17
70	42	17
71	42	16
72	43	16
73	43	15
74	44	14
75	45	14
76	45	13
77	46	13
78	47	12
79	47	11
80	48	11
81	48	10
82	49	10
83	50	9
84	50	8
85	51	8
86	52	7
87	52	7
88	53	6
89	53	5
90	54	5
91	54	4
92	55	4
93	56	3
94	56	2
95	57	2
96	57	1
97	58	1
98	58	0
99	59	0
